State,Year,Transportation (MtCO2e),State GDP (Million US$ (chained 1997/2005)),Population (People),Transit Ridership,Highway use of gasoline (thousand gallons),Highway vehicle-miles traveled (millions),Vehicles,sq mi,tempHigh
Montana,1997,7.405423715,24059.0,889865,1791321.0,454226.0,9392.0,979700.0,145545.8,54.1
Nebraska,1997,13.48248803,60444.0,1686418,6882824.0,800385.0,17077.0,1507000.0,76824.17,60.8
Nevada,1997,13.35217524,73568.0,1764104,51621131.0,826250.0,16309.0,1145660.0,109781.18,63.9
New Hampshire,1997,6.611155367,40120.0,1189425,1090796.0,608267.0,11202.0,1127390.0,8952.65,53.0
New Jersey,1997,62.29290605,357153.0,8218808,334255295.0,3700735.0,62784.0,5816580.0,7354.22,62.4
New Mexico,1997,16.24540953,53246.0,1774839,8052046.0,876521.0,21937.0,1514500.0,121298.15,67.3
New York,1997,70.06732996,767911.0,18656546,2615190294.0,5435545.0,120779.0,10873250.0,47126.4,54.3
North Carolina,1997,49.03625367,269995.0,7656825,30641850.0,3767918.0,81893.0,5785530.0,48617.91,69.4
North Dakota,1997,5.582767135,19389.0,649716,834650.0,344000.0,7122.0,695106.0,69000.8,52.0
Ohio,1997,67.8948213,396947.0,11277357,141883562.0,4847001.0,103677.0,10107650.0,40860.69,59.8
Oklahoma,1997,27.92252875,101343.0,3372917,6280607.0,1737963.0,41400.0,2883720.0,68594.92,70.1
Oregon,1997,23.25212077,102347.0,3304310,83318379.0,1384560.0,32268.0,2890950.0,95988.01,58.9
Pennsylvania,1997,69.01507583,416868.0,12227814,407703680.0,4791863.0,98015.0,8824950.0,44742.7,58.2
Rhode Island,1997,4.877898227,34485.0,1025353,15635754.0,384052.0,7072.0,709680.0,1033.81,58.8
South Carolina,1997,25.72183452,117441.0,3859696,8984309.0,2055233.0,41333.0,2850360.0,30060.7,73.4
South Dakota,1997,5.688363227999999,22356.0,744223,891654.0,403356.0,7939.0,718403.0,75811.0,56.2
Tennessee,1997,40.86076499,181888.0,5499233,24910173.0,2736172.0,60526.0,4534840.0,41234.9,67.6
Texas,1997,178.5375681,754194.0,19740317,260720872.0,9295508.0,198702.0,12923250.0,261231.71,75.6
Utah,1997,14.869086600000001,68799.0,2119784,25980312.0,911464.0,20444.0,1529510.0,82169.62,60.6
Vermont,1997,3.852537364,17302.0,597239,1632313.0,315849.0,6466.0,495716.0,9216.66,51.6
Virginia,1997,46.79120241,257517.0,6829183,40405191.0,3388828.0,70320.0,5708990.0,39490.09,65.7
Washington,1997,47.59351024,223784.0,5674747,170863509.0,2541687.0,51068.0,4702150.0,66455.52,56.4
West Virginia,1997,12.6387476,47387.0,1819113,3153422.0,823083.0,18324.0,1354990.0,24038.21,61.8
Wisconsin,1997,29.8997349,179537.0,5266213,93618372.0,2295098.0,54405.0,4232730.0,54157.8,52.5
Wyoming,1997,7.160281167999999,21015.0,489451,164426.0,299736.0,7576.0,553374.0,97093.14,53.8
United States,1997,1840.662981,9856166.0,272646925,7982370640.0,120937877.0,2552233.0,207753660.0,3531905.43,63.72
Alabama,1998,33.59699717,126309.0,4404701,2792639.0,2383298.0,55205.0,3858930.0,50645.33,76.3
Alaska,1998,13.98979411,35341.0,619932,3421082.0,276828.0,4514.0,545865.0,570640.95,35.6
Arizona,1998,31.522051899999997,154770.0,4883342,52713456.0,2196899.0,45158.0,2944020.0,113594.08,73.2
Arkansas,1998,20.59068211,72648.0,2626289,5324500.0,1364348.0,28346.0,1754220.0,52035.48,73.6
California,1998,209.905133,1270101.0,32987675,1236434838.0,13755547.0,290630.0,25600250.0,155779.22,68.2
Colorado,1998,25.21916089,166949.0,4116639,78517246.0,1865569.0,39283.0,3466090.0,103641.89,59.6
Connecticut,1998,16.44642817,168753.0,3365352,44400027.0,1373280.0,29322.0,2700630.0,4842.36,61.6
Delaware,1998,4.986727136,43011.0,763335,7753591.0,373510.0,8204.0,616492.0,1948.54,67.5
Florida,1998,96.76432099,500547.0,15486559,180932359.0,6946216.0,137543.0,11276390.0,53624.76,82.8
Georgia,1998,62.70579159,296040.0,7863536,169444146.0,4456819.0,96433.0,6893320.0,57513.49,76.9
Hawaii,1998,8.530643603,47158.0,1215233,72944107.0,381223.0,7987.0,703836.0,6422.63,
Idaho,1998,8.762977686000001,32326.0,1252330,1731958.0,621506.0,13428.0,1118890.0,82643.12,55.5
Illinois,1998,62.57890531,503169.0,12271847,575557468.0,4724884.0,101273.0,9306710.0,55518.93,64.6
Indiana,1998,45.95162106,208317.0,5998880,27121650.0,3094446.0,69129.0,5371650.0,35826.11,64.8
Iowa,1998,20.18884528,97594.0,2902872,13918584.0,1498561.0,28911.0,3053140.0,55857.13,60.3
Kansas,1998,19.68195088,92223.0,2660598,3997117.0,1298007.0,27095.0,2121410.0,81758.72,68.0
Kentucky,1998,31.81523869,127226.0,3985390,21309895.0,2072992.0,44895.0,2844610.0,39486.34,68.8
Louisiana,1998,56.93243351,172863.0,4440344,81051218.0,2061110.0,40261.0,3430720.0,43203.9,78.7
Maine,1998,8.181364128,38499.0,1259127,2793359.0,636021.0,13540.0,929605.0,30842.92,53.3
Maryland,1998,28.59202699,193969.0,5204464,126716771.0,2279763.0,48343.0,3750280.0,9707.24,67.2
Massachusetts,1998,32.0004054,265734.0,6271838,371867597.0,2603659.0,51829.0,5159170.0,7800.06,60.2
Michigan,1998,59.83752029,350992.0,9847942,94291140.0,4811212.0,93723.0,8128150.0,56538.9,58.3
Minnesota,1998,33.36861231,189647.0,4813412,72141442.0,2333638.0,49628.0,4177840.0,79626.74,54.8
Mississippi,1998,25.78519548,73444.0,2804834,1485795.0,1517140.0,34210.0,2255740.0,46923.27,76.7
Missouri,1998,47.20230808,194711.0,5521765,72665497.0,2961165.0,64534.0,4377520.0,68741.52,67.1
Montana,1998,7.416651377999999,24851.0,892431,1862063.0,469369.0,9589.0,988277.0,145545.8,55.7
Nebraska,1998,14.09660168,60817.0,1695816,7188860.0,810204.0,17558.0,1526000.0,76824.17,62.4
Nevada,1998,13.69818482,78307.0,1853191,53465843.0,909619.0,16486.0,1220280.0,109781.18,61.7
New Hampshire,1998,7.237587663999999,43157.0,1205940,788525.0,626964.0,11573.0,1038470.0,8952.65,56.5
New Jersey,1998,63.22278018,364286.0,8287418,339660885.0,3824124.0,64510.0,5780340.0,7354.22,65.2
New Mexico,1998,16.22926986,54200.0,1793484,8112759.0,901559.0,22192.0,1594790.0,121298.15,69.2
New York,1998,70.5685297,789382.0,18755906,2646913403.0,5455609.0,123376.0,10422030.0,47126.4,58.0
North Carolina,1998,50.12534872,281665.0,7809121,31285168.0,3902834.0,85283.0,5861830.0,48617.91,71.8
North Dakota,1998,5.017909071,20497.0,647532,1419891.0,340591.0,7333.0,672158.0,69000.8,53.8
Ohio,1998,68.67555913,410131.0,11311536,144971055.0,4960354.0,104926.0,10039490.0,40860.69,64.0
Oklahoma,1998,28.48418223,103619.0,3405194,6834983.0,1762809.0,42033.0,2919190.0,68594.92,73.7
Oregon,1998,24.25864361,107915.0,3352449,91983476.0,1496448.0,33340.0,2980060.0,95988.01,58.4
Pennsylvania,1998,71.09435457,432479.0,12245672,378728809.0,4851206.0,99908.0,8978810.0,44742.7,61.9
Rhode Island,1998,4.754421158,35226.0,1031155,14475348.0,392399.0,7983.0,715017.0,1033.81,61.2
South Carolina,1998,27.13671588,122077.0,3919235,8931677.0,2130119.0,42821.0,2893060.0,30060.7,75.9
South Dakota,1998,5.854560715,23774.0,746058,923862.0,422492.0,8097.0,768507.0,75811.0,58.6
Tennessee,1998,41.75810224,189286.0,5570045,23526820.0,2805557.0,62562.0,4469070.0,41234.9,70.8
